,Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,VoxelFaceArea,GreyMass,EqDiameter
0,12300000.0,2522.45,3133.28,158.104,0.566684,0.620634,0.698182,416096.0,12300000.0,286.39724087977976
1,2488.0,680.238,3085.92,19.2219,0.595083,0.570647,0.709574,1448.0,4976.0,16.811917541876493
2,50400000.0,2727.57,2523.66,268.413,0.400691,0.913656,0.655947,1070000.0,151000000.0,458.29378883586253
3,75500000.0,2881.68,2895.55,322.847,0.491494,0.604289,0.841494,1430000.0,302000000.0,524.3840133729227
5,20900000.0,2940.67,2284.59,246.239,0.750136,0.550566,0.453831,609856.0,125000000.0,341.755795388853
6,81300000.0,2048.67,2841.36,389.412,0.577643,0.573506,0.736447,1450000.0,569000000.0,537.4820617548514
7,157000000.0,1331.65,2237.83,431.553,0.212096,0.940597,0.837664,2260000.0,1250000000.0,669.3198063015237
8,20200000.0,1683.05,2720.33,221.18,0.61341,0.697122,0.554552,592808.0,182000000.0,337.896932398839
9,25500000.0,1230.75,2993.07,318.26,0.491232,0.907954,0.560346,713888.0,255000000.0,365.185775413814
10,45000000.0,1755.59,3116.17,349.868,0.575773,0.667544,0.635504,1020000.0,495000000.0,441.30410150343994
11,61000000.0,1431.83,1351.11,471.233,0.624399,0.548981,0.684178,1270000.0,732000000.0,488.4015919923077
12,1290000.0,2336.5,2829.44,199.316,0.645412,0.80647,0.439679,92720.0,16800000.0,135.06112493186936
13,5570000.0,2720.94,822.32,256.433,0.486716,0.781672,0.656648,248912.0,77900000.0,219.93053175995536
14,106000000.0,2687.16,1362.06,440.971,0.276225,0.930902,0.777499,1680000.0,1590000000.0,587.1770611970455
15,4000000.0,2515.74,2805.5,263.342,0.803267,0.494997,0.397443,215992.0,64000000.0,196.9490043685393
17,77900000.0,1084.72,958.005,432.882,0.518564,0.81935,0.587583,1400000.0,1400000000.0,529.8825428598533
19,9970000.0,3188.4,2473.93,339.975,0.616087,0.607257,0.63221,377288.0,199000000.0,267.03335484356273
20,42100000.0,2319.46,2603.93,489.515,0.575672,0.66492,0.638164,952272.0,884000000.0,431.6129743613801
21,2184.0,1981.41,1776.15,234.11,0.79765,0.356365,0.567815,1440.0,48048.0,16.097236963380205
22,66100000.0,1560.07,2832.04,505.986,0.669755,0.399094,0.827485,1340000.0,1520000000.0,501.65014917162
23,111000000.0,2509.26,3006.96,589.443,0.352039,0.724107,0.894841,1800000.0,2680000000.0,596.2679307090675
26,1224.0,2462.9,1077.87,261.412,0.882378,0.227996,0.515894,992.0,33048.0,13.271731854276286
28,100000000.0,1905.3,2191.98,560.145,0.64138,0.775256,0.462583,1700000.0,2910000000.0,575.8823822969722
29,148000000.0,2020.59,1797.62,678.624,0.584805,0.544635,0.762335,2210000.0,4450000000.0,656.277776016761
31,110000000.0,2747.08,1863.45,623.25,0.469819,0.711411,0.745253,1780000.0,3530000000.0,594.4719320868062
32,5288.0,2083.77,2097.99,281.976,0.912805,0.295069,0.295507,2800.0,174504.0,21.615449672700148
34,12776.0,2178.71,2209.4,297.162,0.946567,0.423627,0.126131,6256.0,447160.0,29.00450292159136
35,21100000.0,2825.79,1015.22,531.997,0.759974,0.346404,0.692909,629080.0,758000000.0,342.8424665978693
40,158000000.0,1714.8,1053.35,652.651,0.317931,0.740617,0.920947,2180000.0,6460000000.0,670.7378609775606
43,64900000.0,2674.37,2359.56,598.329,0.572671,0.678107,0.630179,1250000.0,2860000000.0,498.5958868635661
44,24800000.0,1872.4,1425.33,552.512,0.815115,0.30347,0.609235,730480.0,1110000000.0,361.81315476015436
45,2496.0,2498.33,1702.37,365.968,0.961001,0.109471,0.356247,1872.0,114816.0,16.82991746734001
46,73300000.0,1852.12,2567.15,666.761,0.622457,0.540481,0.698532,1410000.0,3440000000.0,519.2403700730642
48,8920.0,2512.32,1689.88,402.319,0.983949,0.04502,0.356526,4904.0,437080.0,25.73092569690038
49,25000000.0,1507.55,1714.83,564.177,0.698182,0.45594,0.661969,668472.0,1250000000.0,362.783167859781
52,56200000.0,3061.2,2460.17,663.884,0.521509,0.667242,0.717117,1100000.0,2980000000.0,475.23953734969945
55,110000000.0,1072.11,1850.37,724.592,0.445768,0.881084,0.629035,1790000.0,6150000000.0,594.4719320868062
56,108000000.0,2358.0,2132.08,819.936,0.594746,0.528662,0.766566,1780000.0,6130000000.0,590.847013105618
58,2544.0,2422.93,1714.13,447.352,0.883731,0.304312,0.382071,1768.0,150096.0,16.937117284116116
62,169000000.0,1307.11,2696.31,868.056,0.56191,0.707202,0.619469,2410000.0,10600000000.0,685.9556339475855
63,25800000.0,2759.45,2709.29,687.107,0.590315,0.59856,0.684451,678992.0,1650000000.0,366.6122968321917
64,1200.0,1556.04,1928.44,465.52,0.741603,0.338442,0.763491,872.0,78000.0,13.184415301017737
65,1016.0,2439.65,1713.72,479.118,0.930157,0.125821,0.555099,1000.0,67056.0,12.47283073042466
66,47728.0,2381.1,1752.64,492.888,0.960815,0.0716346,0.547018,16512.0,3200000.0,45.00473456138337
67,9432.0,1618.02,1928.29,493.467,0.976367,0.0510825,0.462644,5112.0,641376.0,26.21410632423283
72,101000000.0,3053.44,1424.07,798.899,0.341401,0.86321,0.762965,1640000.0,7360000000.0,577.7956268578566
74,71100000.0,873.824,1173.02,795.156,0.489013,0.551903,0.925864,1340000.0,5340000000.0,513.9927495305803
75,64900000.0,2437.91,1646.02,844.891,0.553534,0.591921,0.754266,1280000.0,4930000000.0,498.5958868635661
76,2368.0,2377.32,1260.84,549.872,0.827737,0.434585,0.396385,1488.0,182336.0,16.5371636916342
79,28800000.0,1502.35,1971.03,786.369,0.470303,0.635498,0.833515,744936.0,2300000000.0,380.304346052945
83,3968.0,2390.86,1815.53,580.516,0.943902,0.762584,0.0735629,2688.0,333312.0,19.642240023934846
84,55200000.0,1835.77,3193.49,792.675,0.238964,0.831036,0.915767,1110000.0,4690000000.0,472.4039117490167
85,13800000.0,2158.21,3080.26,745.949,0.670071,0.414503,0.795963,463480.0,1180000000.0,297.59581623263307
88,29500000.0,1311.4,1102.01,817.051,0.549546,0.587417,0.766838,735272.0,2630000000.0,383.36088405826536
89,96600000.0,2499.01,1291.42,917.976,0.691916,0.516536,0.596442,1710000.0,8690000000.0,569.2803167340053
93,3720000.0,2241.36,2461.09,743.927,0.698861,0.577835,0.521151,198936.0,350000000.0,192.24192467443618
95,69700000.0,1285.1,1406.31,953.17,0.484232,0.691337,0.746044,1290000.0,6690000000.0,510.5967567960712
97,67200000.0,1648.59,2336.56,976.484,0.477312,0.659024,0.793124,1310000.0,6580000000.0,504.4175831187648
100,50600000.0,2014.59,2855.32,913.182,0.515136,0.72356,0.670109,1110000.0,5110000000.0,458.899197450987
102,4640.0,1682.4,1459.89,696.152,0.980542,0.0923841,0.210621,3392.0,477920.0,20.693778017002188
104,80600000.0,1641.65,1654.16,994.949,0.606819,0.585401,0.671644,1470000.0,8470000000.0,535.9350242375124
105,106000000.0,2458.6,2653.45,1054.62,0.540882,0.528966,0.867954,1720000.0,11300000000.0,587.1770611970455
109,130000000.0,1164.12,2223.96,1054.9,0.522269,0.684153,0.698281,2050000.0,14300000000.0,628.5139335191905
111,53100000.0,2007.09,1452.72,975.092,0.506219,0.638466,0.773386,1120000.0,5950000000.0,466.33566680879284
121,98200000.0,2755.8,3041.57,1061.93,0.254789,0.885141,0.841912,1570000.0,12000000000.0,572.4061463986525
122,553784.0,2160.06,2593.04,829.983,0.907908,0.150108,0.613507,59064.0,68100000.0,101.88586271913849
123,3728.0,2084.39,1234.78,765.21,0.975742,0.218027,0.111261,2912.0,462272.0,19.237963383662425
128,115000000.0,2782.82,2345.58,1103.63,0.425671,0.770833,0.745075,1820000.0,14900000000.0,603.3459557881386
130,39800000.0,1764.5,2036.52,1058.71,0.540765,0.798495,0.575126,928576.0,5210000000.0,423.6053956325246
131,32500000.0,2108.34,2321.05,1042.18,0.633792,0.776794,0.471435,858632.0,4290000000.0,395.9389674965274
132,137000000.0,1497.43,3064.15,1147.71,0.480517,0.68309,0.760489,2160000.0,18300000000.0,639.5983209011852
133,1920000.0,2968.33,2590.99,932.086,0.869018,0.196402,0.666907,144472.0,257000000.0,154.20585683256394
134,2312.0,2614.9,2840.18,851.287,0.985497,0.0370426,0.391511,2000.0,312120.0,16.405761832705515
138,173304.0,2047.56,2099.17,968.028,0.958096,0.177858,0.235604,50064.0,24100000.0,69.1730069392161
139,94300000.0,1716.69,951.389,1169.78,0.476779,0.60591,0.863529,1570000.0,13200000000.0,564.7258790897051
141,3736.0,2319.08,2967.77,902.197,0.859575,0.614583,0.228488,2304.0,530512.0,19.25171461306501
142,7820000.0,2864.16,2699.66,1050.23,0.739583,0.513463,0.507177,300696.0,1120000000.0,246.26500986638544
143,39400000.0,2831.11,1577.84,1130.94,0.623199,0.770769,0.488863,977776.0,5670000000.0,422.18150120622136
144,26800000.0,3034.54,1057.41,1099.71,0.513773,0.84997,0.572052,724696.0,3880000000.0,371.2889781615384
146,86400000.0,2246.85,3163.34,1200.97,0.3441,0.804706,0.81508,1500000.0,12700000000.0,548.4937796808999
147,11200000.0,1718.7,1280.16,1039.77,0.783287,0.268828,0.806138,412280.0,1660000000.0,277.59169375357
148,1264.0,2391.82,2956.61,922.949,0.849034,0.366956,0.411401,968.0,188336.0,13.41475721955121
149,2152.0,2369.47,2970.65,929.19,0.933429,0.274106,0.242866,1512.0,322800.0,16.018230847504423
152,161000000.0,2319.91,1062.48,1257.62,0.407222,0.715842,0.828085,2350000.0,24600000000.0,674.9564489897218
154,2016.0,2328.76,2975.1,943.325,0.711386,0.443572,0.650658,1288.0,312480.0,15.673427108413087
156,1728.0,1989.35,1020.97,942.407,0.937643,0.189394,0.329246,1296.0,271296.0,14.8884117815856
160,5096.0,2011.98,993.485,955.096,0.868128,0.525152,0.251112,2720.0,820456.0,21.35060892211808
162,5000.0,1988.76,1058.65,964.336,0.942413,0.252252,0.228291,3056.0,815000.0,21.215688358941104
163,1280.0,2371.71,2959.32,965.763,0.907919,0.208058,0.442573,1096.0,209920.0,13.471122407685037
164,205000000.0,2041.65,2637.58,1402.16,0.53744,0.498297,0.928281,2750000.0,33700000000.0,731.5630236588793
165,128000000.0,2739.17,1910.18,1296.86,0.429679,0.794115,0.718184,1970000.0,21200000000.0,625.2741134374176
168,156000000.0,1362.69,1723.51,1377.2,0.388153,0.772169,0.792375,2200000.0,26400000000.0,667.8957173048376
169,61800000.0,964.399,1949.85,1309.68,0.807212,0.286962,0.671823,1380000.0,10500000000.0,490.5274146133062
172,47200000.0,1342.3,1053.16,1256.73,0.697864,0.560013,0.539516,1120000.0,8170000000.0,448.3816100493335
173,66736.0,3277.87,861.7,1063.13,0.794797,0.634383,0.32347,13400.0,11600000.0,50.32539396640642
178,87700000.0,2265.94,1684.85,1357.11,0.4215,0.640349,0.903414,1500000.0,15700000000.0,551.2310300568739
184,69900000.0,1018.92,3012.21,1350.55,0.512735,0.716722,0.679853,1320000.0,12900000000.0,511.08466608175445
187,116000000.0,1058.59,1245.41,1417.21,0.462859,0.693156,0.77492,1870000.0,21800000000.0,605.0897399235387
189,3424.0,2342.51,1851.96,1083.1,0.916951,0.56699,0.146474,2184.0,650560.0,18.700148036384963
190,79100000.0,3016.03,1306.87,1368.99,0.391933,0.764719,0.795151,1410000.0,15100000000.0,532.5895249221364
191,52800000.0,2001.72,1982.09,1373.7,0.604264,0.468348,0.844962,1110000.0,10100000000.0,465.45578610195446
192,30760.0,1971.1,1932.8,1100.32,0.974116,0.227993,0.11353,11384.0,5940000.0,38.874298902176804
195,39248.0,2189.72,1946.85,1119.74,0.982181,0.319173,0.0558292,18496.0,7690000.0,42.16378947143045
196,1952.0,3135.42,1701.04,1102.49,0.920028,0.188622,0.423981,1656.0,384544.0,15.505784018230651
200,138000000.0,1841.47,1387.19,1457.04,0.460684,0.642388,0.839548,2050000.0,27800000000.0,641.1507500999383
201,1620000.0,1942.56,1721.39,1206.59,0.599317,0.5873,0.682247,103880.0,328000000.0,145.71540378031685
207,11600000.0,3193.3,861.525,1315.91,0.629974,0.811379,0.456046,413200.0,2410000000.0,280.8577780162758
209,82100000.0,957.058,2229.81,1546.99,0.682993,0.333397,0.950839,1560000.0,17200000000.0,539.2392693901005
211,178000000.0,1440.55,2462.61,1499.15,0.300214,0.76772,0.911512,2390000.0,37800000000.0,697.92238284142
213,86100000.0,3112.96,1743.14,1506.17,0.4896,0.75937,0.672136,1500000.0,18400000000.0,547.858212738906
214,20200000.0,1856.63,2237.22,1376.89,0.642808,0.623995,0.572428,595680.0,4350000000.0,337.896932398839
216,162000000.0,2386.8,2204.79,1583.94,0.459406,0.651571,0.829678,2310000.0,35200000000.0,676.350991072096
224,13936.0,2318.27,1986.66,1222.31,0.967337,0.206848,0.157909,6880.0,3140000.0,29.857023167486147
225,18900000.0,2877.81,2745.96,1360.05,0.398091,0.793845,0.75822,551776.0,4280000000.0,330.4870100115385
227,75100000.0,2548.84,1398.64,1523.58,0.418192,0.707078,0.822834,1440000.0,17100000000.0,523.4563086254723
228,19500000.0,1631.71,2035.02,1427.49,0.539989,0.944688,0.486944,580664.0,4460000000.0,333.9478586524188
231,1216.0,2117.76,2183.25,1270.49,0.858283,0.14682,0.965245,984.0,282112.0,13.242754181611415
234,2912.0,1784.97,1886.54,1301.77,0.904322,0.204993,0.466736,1896.0,684320.0,17.717301787099633
235,13300000.0,1889.63,1748.04,1514.11,0.849902,0.295198,0.508464,478056.0,3140000000.0,293.9573607986584
236,62700000.0,3110.56,2314.45,1571.13,0.449855,0.799882,0.687783,1260000.0,14800000000.0,492.8971490496398
239,1640.0,2487.38,2926.59,1339.96,0.853836,0.224723,0.65042,1200.0,393600.0,14.631260473177583
240,1152.0,2536.74,2938.94,1339.93,0.732702,0.550076,0.48593,880.0,277632.0,13.006225683342937
241,63100000.0,2853.74,3018.31,1606.48,0.565349,0.550856,0.789048,1230000.0,15300000000.0,493.9430877809948
242,193000000.0,1709.81,2990.3,1707.72,0.377896,0.783645,0.79386,2570000.0,46800000000.0,717.0006712196141
244,2416.0,2626.3,2878.48,1360.97,0.90836,0.413195,0.221783,1640.0,591920.0,16.648154689269674
