,Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,VoxelFaceArea,GreyMass,EqDiameter
0,348072.0,2794.56,2911.65,52.727,0.423501,0.737198,0.782014,39128.0,348072.0,87.27505987979228
1,230288.0,2560.86,3232.19,34.7108,0.374766,0.820018,0.762464,27400.0,460576.0,76.04854253511388
4,3650000.0,2557.5,1923.12,102.323,0.363889,0.869119,0.731903,215088.0,18300000.0,191.02846269930637
7,207328.0,1139.66,1742.73,42.0015,0.511532,0.594755,0.821294,27440.0,1660000.0,73.43218404231297
8,1840000.0,2668.85,983.487,104.094,0.56239,0.774955,0.564691,133312.0,16600000.0,152.03365401328347
9,365016.0,1112.61,1437.96,50.7713,0.614062,0.412617,0.935341,39072.0,3650000.0,88.66885351682099
10,654744.0,1359.62,2746.02,68.4268,0.258924,0.814792,0.909528,57504.0,7200000.0,107.73520316811354
11,3380000.0,2647.05,1254.66,130.639,0.457747,0.843304,0.643011,196976.0,40600000.0,186.19700569898532
12,1520000.0,3245.29,1990.25,98.9856,0.580469,0.832123,0.504169,112040.0,19700000.0,142.6532450021421
14,1360000.0,1643.26,1363.25,77.0996,0.594164,0.47517,0.854085,99120.0,20400000.0,137.46118875970186
15,416720.0,993.075,1413.75,67.454,0.695996,0.363168,0.837089,51280.0,6670000.0,92.67200814982743
16,2256.0,1272.54,1619.75,23.8227,0.871458,0.248706,0.516844,1536.0,38352.0,16.272220639390888
17,3530000.0,2726.1,1838.37,109.428,0.586937,0.553729,0.745965,188352.0,63500000.0,188.91162959392182
18,449336.0,1163.49,700.242,67.6335,0.645612,0.611455,0.579582,47656.0,8540000.0,95.02930014450456
19,28400000.0,1127.57,1603.19,193.971,0.532267,0.603605,0.774899,804832.0,569000000.0,378.5354630584497
20,15200000.0,1206.53,1108.94,183.253,0.356894,0.757872,0.848568,552584.0,320000000.0,307.3370996782324
23,648960.0,1546.24,1474.64,70.8058,0.648646,0.623461,0.563555,72024.0,15600000.0,107.41702058475506
24,264064.0,743.425,1654.18,61.2776,0.685155,0.498131,0.632052,36960.0,6600000.0,79.59825099013318
25,384768.0,2772.04,778.589,77.7716,0.41757,0.795613,0.732051,45064.0,10000000.0,90.24021219545682
27,4300000.0,2519.31,1745.43,133.427,0.397043,0.917306,0.657312,225168.0,120000000.0,201.75452211500982
29,6680000.0,3240.1,1678.26,192.702,0.428312,0.595675,0.959731,329416.0,201000000.0,233.6644338982477
30,15000000.0,1748.73,2716.37,182.056,0.285459,0.790568,0.903832,565304.0,466000000.0,305.9831741945869
31,3020000.0,2106.1,2676.93,114.109,0.542016,0.572375,0.800147,169344.0,96800000.0,179.33680993789778
32,3360000.0,1083.39,1367.05,145.505,0.506216,0.65821,0.750192,177680.0,111000000.0,185.82902646775852
33,599552.0,3138.75,1573.84,87.9965,0.451351,0.723764,0.75805,54024.0,20400000.0,104.6187221856967
35,4648.0,841.053,1833.32,44.148,0.644186,0.570473,0.623717,2128.0,167328.0,20.705664164369885
37,4490000.0,1329.36,763.794,140.946,0.572985,0.685006,0.623375,231672.0,171000000.0,204.68337665335378
38,23900000.0,2703.4,3244.13,216.101,0.392028,0.72839,0.834679,708264.0,933000000.0,357.38234393550374
39,8440.0,2680.21,2576.41,51.2682,0.768678,0.345711,0.669119,3344.0,337600.0,25.2608489203623
40,994688.0,1606.02,2477.34,114.492,0.37374,0.823344,0.76063,82408.0,40800000.0,123.85002124859164
41,324848.0,3055.32,3203.37,84.0695,0.719546,0.460806,0.608617,46816.0,13600000.0,85.28916416174374
43,18300000.0,2737.3,1647.35,219.052,0.471997,0.678413,0.778291,567960.0,804000000.0,326.95211855223863
44,4710000.0,2948.46,3121.95,154.312,0.530834,0.671203,0.698993,233064.0,212000000.0,207.9732259018835
45,244136.0,2448.94,1046.67,100.005,0.620887,0.524855,0.722319,32080.0,11200000.0,77.5433216960121
47,811272.0,1713.89,2036.96,160.288,0.783427,0.392004,0.552478,97648.0,38900000.0,115.71490103905381
49,321464.0,933.788,2676.5,119.339,0.804576,0.548991,0.355969,51104.0,16100000.0,84.99197227590881
50,172824.0,1296.27,2674.47,80.2606,0.525135,0.613282,0.774301,26704.0,8810000.0,69.10908507409852
52,2070000.0,2948.43,3267.1,130.795,0.411587,0.620571,0.948179,131976.0,109000000.0,158.12137213625056
53,495208.0,1394.98,895.608,109.541,0.321521,0.947477,0.716091,48528.0,26700000.0,98.15889856857652
55,189776.0,2757.43,2439.83,112.009,0.368702,0.721871,0.87453,33752.0,10600000.0,71.29858136721
56,31500000.0,1194.02,2771.99,246.524,0.588541,0.568797,0.723384,831432.0,1800000000.0,391.8356777103271
58,558080.0,915.72,1472.41,94.7007,0.527685,0.657491,0.71836,54280.0,32900000.0,102.14864549488854
60,503896.0,1161.2,1794.9,100.941,0.345006,0.900717,0.727191,49096.0,30700000.0,98.72961182938013
61,613648.0,2107.65,924.116,103.154,0.524405,0.913101,0.520857,61448.0,38000000.0,105.43227237293783
63,16500000.0,1884.23,2183.45,221.419,0.526842,0.650168,0.727747,557208.0,1060000000.0,315.86034638529395
64,3790000.0,2646.15,2924.07,148.28,0.532626,0.512907,0.911225,223960.0,247000000.0,193.44025790971432
65,32900000.0,1576.08,1214.08,254.492,0.544985,0.55464,0.82038,898056.0,2170000000.0,397.556713625566
67,1810000.0,2572.46,3050.43,138.697,0.340538,0.915368,0.720434,125240.0,123000000.0,151.2028524342777
69,144360.0,1594.0,2350.56,93.871,0.352537,0.705107,0.918247,20664.0,10100000.0,65.08527592584134
71,906544.0,2511.79,1609.19,121.0,0.470786,0.943428,0.560948,73712.0,65300000.0,120.07799338936103
72,520248.0,2199.12,2500.25,111.828,0.246018,0.880334,0.856473,48592.0,38000000.0,99.78622633397546
74,8500000.0,1573.86,3154.31,234.903,0.50315,0.64966,0.764785,393400.0,638000000.0,253.20567461564673
76,2360000.0,2905.44,1822.48,177.665,0.578823,0.655722,0.642311,185256.0,182000000.0,165.18519748328356
77,4700000.0,1457.84,2689.46,175.512,0.386467,0.670768,0.914674,238928.0,366000000.0,207.82593603257155
78,132968.0,1135.11,1868.81,100.763,0.643313,0.535937,0.66554,23056.0,10500000.0,63.326113948608864
79,1230000.0,2652.55,2581.14,141.143,0.38683,0.755333,0.811787,91824.0,98500000.0,132.9338235245095
80,631320.0,2092.37,2796.81,112.9,0.746685,0.311726,0.812621,64056.0,51100000.0,106.43479838879955
81,1130000.0,2154.64,2314.18,171.129,0.628719,0.561615,0.661095,94608.0,92300000.0,129.2289871188671
82,2470000.0,2450.96,1499.13,179.056,0.565532,0.684611,0.63462,159104.0,205000000.0,167.71276164473227
83,3460000.0,2826.52,2960.21,212.979,0.512732,0.559479,0.870932,237600.0,291000000.0,187.65457581781493
86,83856.0,1458.96,713.522,100.444,0.332621,0.73903,0.903047,14576.0,7300000.0,54.305669643149415
87,1380000.0,2005.17,923.969,156.129,0.442936,0.921923,0.604242,101256.0,122000000.0,138.131741755527
88,1090000.0,2560.8,1067.58,128.946,0.594617,0.608297,0.666422,85072.0,96900000.0,127.68580686861068
89,1620000.0,2838.45,1288.84,142.073,0.345799,0.759139,0.861766,118256.0,146000000.0,145.71540378031685
90,2370000.0,2728.7,1378.45,162.432,0.451372,0.621069,0.88336,177792.0,216000000.0,165.41818114534522
94,3110000.0,1413.31,1396.86,218.75,0.5176,0.902202,0.534692,195368.0,296000000.0,181.10089179087134
95,7090000.0,2714.88,855.882,197.275,0.534598,0.613689,0.758369,331336.0,680000000.0,238.35039223976565
96,3310000.0,2374.51,1627.16,164.574,0.488358,0.839989,0.609106,180320.0,321000000.0,184.90264504748137
97,2620000.0,1210.35,2998.51,163.215,0.485893,0.598433,0.859089,147512.0,257000000.0,171.04126098483198
98,588576.0,2859.35,774.193,141.313,0.328622,0.859396,0.781221,62392.0,58300000.0,103.97636782515409
99,269576.0,2581.14,899.904,120.399,0.619087,0.475794,0.800582,33344.0,27000000.0,80.14827891740475
100,3930000.0,3008.23,1676.68,182.642,0.157275,0.894613,0.942,213912.0,397000000.0,195.79336751361868
101,210280.0,911.598,2083.36,128.232,0.807536,0.491649,0.391466,35464.0,21400000.0,73.77905960135317
102,455088.0,1685.88,2542.94,165.542,0.58631,0.497309,0.831859,51424.0,46900000.0,95.43307562858172
103,4120000.0,1045.25,1235.56,235.927,0.558382,0.895593,0.493101,219808.0,429000000.0,198.89912133630074
104,6570000.0,3147.16,3274.29,211.577,0.51376,0.733604,0.66281,313848.0,690000000.0,232.37473940820803
105,1200000.0,1547.09,1417.12,159.738,0.374907,0.778287,0.803165,94160.0,127000000.0,131.84415301017737
106,824440.0,1297.15,1466.48,199.922,0.727855,0.626361,0.434486,82392.0,88200000.0,116.33761175387176
107,32112.0,1394.94,2801.74,117.858,0.815647,0.774792,0.237938,9776.0,3470000.0,39.43570213150483
108,187704.0,1408.1,1343.42,125.686,0.276354,0.866084,0.835537,24832.0,20500000.0,71.03814872826885
111,1430000.0,3188.64,1078.05,184.799,0.664322,0.667409,0.502957,125688.0,160000000.0,139.78024747920858
112,242400.0,1952.06,2793.28,136.588,0.732858,0.55196,0.483988,37792.0,27400000.0,77.35908620640626
114,933704.0,3088.48,1553.46,179.722,0.406098,0.749318,0.79259,81104.0,107000000.0,121.2653893968585
115,192776.0,1761.82,1820.43,149.67,0.789345,0.399134,0.52778,31072.0,22400000.0,71.67231749751355
116,378392.0,1163.16,1985.57,169.907,0.871065,0.327099,0.394178,53728.0,44300000.0,89.73897565433168
117,234720.0,2175.6,2409.74,133.06,0.540032,0.663097,0.693666,29632.0,27700000.0,76.53330908307595
118,1470000.0,1469.87,2872.79,200.754,0.583481,0.590595,0.705253,110232.0,175000000.0,141.07159310659654
119,2350000.0,1378.68,968.184,199.605,0.396624,0.729008,0.827668,159896.0,282000000.0,164.9515547421899
120,8336.0,2705.4,2495.68,117.455,0.787411,0.477054,0.44563,3400.0,1010000.0,25.156662763071793
121,571464.0,1955.16,2649.91,155.98,0.705071,0.537898,0.5483,64056.0,69700000.0,102.95878719400919
122,189952.0,1993.3,2737.12,132.162,0.584404,0.535359,0.776294,24976.0,23400000.0,71.32061554277239
123,1040000.0,2997.16,1125.05,189.132,0.759471,0.285049,0.843816,91016.0,128000000.0,125.70278670383809
124,3060000.0,2463.49,791.456,192.028,0.613378,0.556599,0.694616,165240.0,382000000.0,180.1251137398567
125,1440000.0,2935.37,2884.56,193.614,0.581032,0.726571,0.576638,123744.0,181000000.0,140.10531899288833
126,1380000.0,3244.96,2486.53,188.41,0.433675,0.798382,0.709341,98712.0,175000000.0,138.131741755527
127,6090000.0,1068.27,2064.34,217.312,0.606343,0.518482,0.75925,256760.0,780000000.0,226.57199225513088
129,358768.0,2544.0,2629.21,152.794,0.415491,0.743283,0.786389,38736.0,46600000.0,88.16002251542488
130,1730000.0,3100.51,2821.31,186.535,0.646239,0.596024,0.593535,112880.0,226000000.0,148.94153552992282
132,1224.0,2436.03,845.765,118.863,0.571665,0.488095,0.877565,864.0,162792.0,13.271731854276286
134,6020000.0,2875.34,1397.36,262.604,0.325596,0.722375,0.933593,316184.0,813000000.0,225.7005529049781
135,28900000.0,1617.8,2399.29,352.567,0.514134,0.712622,0.6818,869280.0,3940000000.0,380.74400464798316
136,1290000.0,1792.35,1102.57,198.375,0.450658,0.851331,0.645274,96104.0,177000000.0,135.06112493186936
137,2110000.0,1557.69,2564.91,199.058,0.54833,0.652526,0.692188,128752.0,291000000.0,159.13337646489322
138,68300000.0,2757.94,1126.45,388.497,0.648998,0.542561,0.646935,1450000.0,9490000000.0,507.15497929983485
140,21000000.0,2726.69,2737.42,285.017,0.599399,0.573349,0.698703,631280.0,2960000000.0,342.29999343445024
141,13600000.0,1074.05,1854.13,271.331,0.4964,0.692478,0.727244,477912.0,1940000000.0,296.15115359692254
142,600008.0,2449.99,2189.28,172.523,0.541703,0.703321,0.651618,54472.0,85800000.0,104.6452386779215
145,857832.0,2956.99,2785.68,190.332,0.346821,0.985804,0.662585,68368.0,125000000.0,117.88753139229786
146,59200000.0,2722.4,2421.8,399.05,0.681951,0.513131,0.619819,1300000.0,8700000000.0,483.54959974068163
147,2512.0,982.401,1428.27,137.369,0.745662,0.385112,0.660426,1464.0,371776.0,16.86580226141698
148,3376.0,805.299,2110.17,137.36,0.594567,0.566974,0.715082,1696.0,503024.0,18.612352621002145
149,1060000.0,1382.93,2124.89,202.164,0.376088,0.862274,0.723566,87472.0,160000000.0,126.50346298338894
150,1150000.0,758.701,2541.25,196.172,0.523178,0.50338,0.947242,89920.0,173000000.0,129.98694572404088
151,250200.0,2572.48,2814.27,168.273,0.520166,0.722002,0.664588,31352.0,38000000.0,78.1801010946019
152,285424.0,1025.98,990.431,172.505,0.514238,0.708142,0.685968,36584.0,43700000.0,81.6890706537833
153,8200.0,3028.32,3329.82,142.82,0.793914,0.475423,0.43348,3352.0,1260000.0,25.019103478695172
154,2490000.0,2507.03,924.028,214.777,0.519972,0.685843,0.699909,142424.0,385000000.0,168.1642113639727
155,269760.0,3356.65,2397.63,170.855,0.385539,0.844399,0.72769,32280.0,42100000.0,80.16650992872545
156,53800000.0,2086.45,2742.53,382.03,0.544749,0.552837,0.823482,1250000.0,8440000000.0,468.3759113289144
157,15400000.0,2158.36,2453.08,317.84,0.496856,0.761946,0.660341,522160.0,2440000000.0,308.67920010767716
158,505504.0,2112.68,2581.0,193.046,0.743279,0.574843,0.446593,61856.0,80400000.0,98.83452014557076
160,3920000.0,2065.47,821.668,228.666,0.688383,0.438689,0.710335,231376.0,632000000.0,195.62715914212797
161,810408.0,2449.32,1019.8,204.472,0.636315,0.764204,0.4759,68000.0,131000000.0,115.67380788024718
162,3820000.0,1400.48,2986.84,235.594,0.480483,0.7576,0.685741,220944.0,623000000.0,193.949313567135
164,270280.0,1574.16,2913.52,184.808,0.803506,0.248916,0.789396,39944.0,44600000.0,80.2179875733519
166,158960.0,1138.49,3085.65,200.651,0.909768,0.50413,0.178985,32216.0,26500000.0,67.20935753503511
167,2250000.0,1237.04,875.405,210.93,0.57117,0.564949,0.75906,138496.0,379000000.0,162.5778210417867
169,8824.0,1599.16,1660.36,156.586,0.771766,0.436713,0.522617,3512.0,1500000.0,25.638284298300213
170,18100000.0,2646.79,1875.81,315.96,0.510156,0.643674,0.761012,547344.0,3090000000.0,325.7566705161797
173,4420000.0,1592.73,1730.57,258.64,0.650411,0.670418,0.52145,236152.0,770000000.0,203.6141156296101
174,1940000.0,888.594,2628.99,221.073,0.493133,0.578306,0.876468,129096.0,340000000.0,154.73944536405173
