,Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,VoxelFaceArea,GreyMass,EqDiameter
0,38500000,1450.78,1623.49,230.689,0.736204,0.643559,0.409902,1070000,38500000,418.9421293
1,119000000,1281.86,2432.82,361.503,0.313225,0.926885,0.740949,2180000,239000000,610.2616979
2,18000000,2149.62,2230.05,239.867,0.685352,0.724867,0.434077,563544,54100000,325.1556421
3,9540000,1126.24,1862.02,154.955,0.615505,0.424493,0.905775,366464,38200000,263.1378069
4,5680000,3084.62,2648.38,179.033,0.730433,0.397933,0.677418,273136,28400000,221.3688817
5,21200000,924.948,1464.66,181.898,0.513049,0.56318,0.864645,731480,127000000,343.3832285
6,3088,886.839,1455.13,40.8705,0.270101,0.796999,0.915809,1472,21616,18.06728477
7,39700000,1607.72,991.426,309.256,0.639355,0.855549,0.421537,967416,318000000,423.2503197
8,7730000,950.189,2243.99,159.15,0.633039,0.460797,0.796361,312712,69600000,245.3166115
9,17700000,1428.45,3031.85,229.924,0.620364,0.585638,0.648244,566696,177000000,323.3390922
10,3304,2859.07,1921.19,68.6489,0.258706,0.890378,0.832561,1488,36344,18.47908538
11,7080000,2996.41,3080.38,195.597,0.703821,0.527125,0.561876,296816,85000000,238.2382801
12,39600000,2487.3,1425.5,319.775,0.602727,0.742002,0.535407,937168,515000000,422.894647
13,21400000,2899.77,2380.33,305.984,0.680072,0.682504,0.468756,642184,300000000,344.459672
14,5770000,1892.78,2294.86,241.483,0.573779,0.714242,0.596746,268952,86600000,222.531962
15,37000000,1436.32,1893.35,332.582,0.676551,0.735846,0.439561,938096,591000000,413.4290923
16,30100000,1133.41,1623.98,348.313,0.718533,0.723265,0.389162,804264,511000000,385.9425166
17,7270000,2384.61,1671.98,312.287,0.796885,0.373522,0.543785,335048,131000000,240.3506289
18,4240000,3168.27,2776.86,244.361,0.827116,0.278172,0.621499,227176,80600000,200.8117302
19,10600000,1967.1,1823.78,288.375,0.589884,0.790088,0.519076,385800,211000000,272.5434491
20,6870000,1537.83,3200.51,323.346,0.643418,0.468676,0.760828,291920,144000000,235.8591369
21,6180000,2883.99,1607.55,311.461,0.594394,0.717074,0.565641,291672,136000000,227.682657
22,20500000,1159.13,1386.53,366.288,0.628562,0.809491,0.458853,612496,473000000,339.5614762
23,8660000,1148.11,2000.69,314.451,0.766383,0.294927,0.792117,354288,208000000,254.7845505
24,5740000,3303.66,2848.76,318.908,0.630079,0.455599,0.811944,260248,144000000,222.145621
25,5550000,1764.69,1643.75,317.551,0.553319,0.655155,0.681794,256440,144000000,219.6669838
26,10240,1833.97,1553.46,193.909,0.656396,0.40626,0.845774,3376,276480,26.94224482
27,2900000,1486.93,2772.31,275.346,0.781178,0.409758,0.534027,167984,81100000,176.9293133
28,4640000,2323.79,1008.57,299.61,0.694133,0.758019,0.403509,228728,135000000,206.9377802
29,144376,2278.97,3288.92,229.511,0.566845,0.564086,0.767889,20824,4330000,65.08768039
30,2030000,2479.99,2154.88,278.947,0.479915,0.937249,0.554907,132448,62800000,157.0962453
31,7480000,3115.57,2885.27,356.223,0.672817,0.507101,0.645203,314792,239000000,242.6429395
32,3230000,2303.3,1225.68,298.661,0.8399,0.366747,0.436542,189984,107000000,183.4008314
33,10600000,2663.67,2479.01,382.85,0.703557,0.58313,0.508366,395656,360000000,272.5434491
34,16600000,1739.71,2378.42,377.125,0.512827,0.761097,0.640093,518536,583000000,316.4971633
35,12200000,2919.16,2553.87,389.891,0.662105,0.859678,0.393049,452584,439000000,285.6189837
36,5050000,1860.45,1510.94,327.463,0.674966,0.613997,0.529373,245552,187000000,212.8617289
37,13600000,1658.18,2821.06,404.029,0.70582,0.340267,0.864556,479088,517000000,296.1511536
38,9210000,2194,1705.35,355.527,0.673238,0.569523,0.573747,356032,359000000,260.0680508
39,2810000,2337.32,1832.06,331.759,0.556132,0.480505,0.923754,159672,112000000,175.0797425
40,1940000,2093.71,1967.15,304.449,0.579069,0.669911,0.628339,127888,79700000,154.7394454
41,37600000,2675.23,2204.61,465.505,0.641507,0.560988,0.639038,949096,1580000000,415.6518721
42,1750000,3099.62,2497.32,329.445,0.7143,0.450778,0.633792,123456,75300000,149.5132937
43,19700000,1075.49,1119.93,418.413,0.748732,0.69157,0.363329,613408,868000000,335.0856796
44,30000000,2087.2,1358.27,442.319,0.492929,0.869488,0.583183,801872,1350000000,385.5146421
45,39800000,1417.57,2062.31,547.075,0.689648,0.736516,0.421379,962632,1830000000,423.6053956
46,73600000,1078.63,2969.42,617.967,0.64287,0.549647,0.649745,1520000,3460000000,519.9477829
47,3910000,2355.52,3121.08,350.419,0.734683,0.442318,0.599833,207016,188000000,195.4606679
48,4610000,1949.66,2150.02,375.762,0.527937,0.758012,0.622764,231560,226000000,206.4908289
49,5380000,815.615,1030.02,387.203,0.736756,0.412175,0.638669,251040,269000000,217.40084
50,246320,2748.24,1469.31,294.628,0.664303,0.582567,0.576237,30144,12600000,77.77386547
52,13700000,2363.06,2179.95,456.341,0.712126,0.521214,0.552314,479664,726000000,296.8752424
53,6920000,2114.05,2736.7,388.06,0.676332,0.539522,0.599917,302448,374000000,236.4299502
54,476984,2719.21,1542.08,334.267,0.663001,0.475467,0.708774,48144,26200000,96.93971301
55,8390000,1076.94,2098.78,439.34,0.774292,0.306206,0.737111,355384,470000000,252.108669
56,8290000,1786.07,2592.82,406.3,0.648011,0.528345,0.66621,331776,473000000,251.1030393
57,17600000,1876.44,1947.82,433.028,0.601527,0.868183,0.458974,546816,1020000000,322.729017
58,36300000,1372.17,2783.94,562.861,0.780267,0.535647,0.41022,969136,2140000000,410.8052649
59,7712,1588.96,700.614,298.836,0.363375,0.837266,0.760362,2736,462720,24.51260496
60,20400000,2464.17,1958.92,483.874,0.670002,0.852278,0.387195,609072,1240000000,339.0084435
61,2090000,3059.79,2712.15,375.787,0.77443,0.624498,0.361202,134400,129000000,158.6289884
62,3210000,1098.19,2766.7,415.295,0.865775,0.286357,0.468732,192856,202000000,183.0215111
63,6200000,2437.63,2768.46,404.837,0.560715,0.619903,0.708635,281064,397000000,227.9280049
64,12200000,2552.27,3132.34,452.395,0.693245,0.565897,0.542068,443024,792000000,285.6189837
65,3370000,1324.86,1066.01,408.089,0.779158,0.323489,0.682689,186488,223000000,186.0131981
66,119000000,2911.15,1328.3,703.987,0.784536,0.548537,0.392798,2160000,7950000000,610.2616979
67,17600000,1383.53,1254.07,509.063,0.402714,0.761753,0.784095,582800,1190000000,322.729017
68,5648,2422.21,3241.03,322.878,0.234355,0.946237,0.809147,2176,389712,22.09523824
69,21300000,1732.47,2161.75,529.549,0.592917,0.764093,0.532766,614760,1490000000,343.9222925
70,12300000,2276.66,2892.89,468.308,0.529363,0.644722,0.729983,422744,874000000,286.3972409
71,29400000,1963.07,1611.04,540.804,0.390954,0.734401,0.82931,743880,2110000000,382.9272175
73,19500000,2173.98,1811.75,540.59,0.759414,0.60854,0.39535,587656,1440000000,333.9478587
74,28300000,1687.28,1750.06,587.982,0.680139,0.595718,0.536934,762992,2120000000,378.0906501
75,1810000,2288.85,2695.96,427.925,0.693605,0.533058,0.574787,119800,138000000,151.2028524
76,4700000,1389.76,1499.53,455.235,0.427138,0.648397,0.883505,224888,362000000,207.825936
77,7530000,1202.19,1760.49,509.976,0.677309,0.378004,0.853672,313472,588000000,243.1823875
78,4760000,1590.62,2647.28,451.096,0.688434,0.410431,0.759119,237840,376000000,208.7065649
79,27200000,2137.86,2021.83,579.655,0.735694,0.713059,0.370665,739528,2180000000,373.1270724
80,22400000,3008.48,2945.18,531.58,0.565572,0.648912,0.669472,698056,1810000000,349.7436182
81,15000000,2191.45,847.675,521.845,0.607565,0.676204,0.58035,528768,1230000000,305.9831742
82,4680000,2606.02,3268.15,516.268,0.862808,0.311951,0.439786,241696,388000000,207.5307283
83,12200000,2557.75,2920.62,496.399,0.677772,0.831621,0.387469,426640,1020000000,285.6189837
85,5060000,1555.91,1375.04,479.775,0.709776,0.546794,0.530773,249240,435000000,213.0021391
86,25600000,2062.94,2267.59,575.624,0.729819,0.543517,0.497098,741760,2230000000,365.6625198
87,51200000,2635.94,2620.43,625.221,0.546094,0.85131,0.533185,1110000,4510000000,460.7059058
88,4320000,1974.82,2643.1,481.37,0.431332,0.623212,0.912479,212344,385000000,202.0668361
89,16000000,1621.38,2952.2,562.936,0.797858,0.422194,0.478789,535904,1440000000,312.6370567
90,13500000,1399.3,3066.29,562.568,0.806013,0.341466,0.568099,483592,1230000000,295.4235066
91,1950000,1871.75,2764.13,478.14,0.417402,0.804328,0.724328,122760,179000000,155.0048652
92,359248,2711.28,1228.17,433.842,0.701631,0.586885,0.508393,39976,33400000,88.19932178
93,7210000,2623.68,1604.7,500.135,0.648074,0.497628,0.707208,323328,678000000,239.6875893
95,1460000,1952.28,3367.32,491.501,0.57718,0.486487,0.869129,99952,140000000,140.7509747
96,5050000,3038.88,806.067,548.207,0.839628,0.253554,0.632495,250608,490000000,212.8617289
97,5168,3432.62,2867.97,410.096,0.287062,0.80311,0.887721,2032,506464,21.45069136
98,18600000,2484.96,1739.08,603.528,0.683021,0.809405,0.39162,557056,1840000000,328.7290671
99,57300000,2417.62,2321.05,662.896,0.785956,0.580514,0.368715,1290000,5730000000,478.3201389
100,53200000,1600.13,2425.08,722.179,0.669063,0.609449,0.54301,1150000,5380000000,466.6282238
101,5120000,1792.68,1378.65,521.911,0.540119,0.80372,0.572191,244304,523000000,213.8407388
102,5020000,989.67,2608.65,564.608,0.691985,0.351294,0.876801,230096,517000000,212.4393831
103,7600000,1636.07,1146.37,526.95,0.616795,0.5466,0.70107,311200,791000000,243.9336177
104,78900000,2343.04,1494.58,762.325,0.692171,0.827691,0.371913,1490000,8290000000,532.1402716
105,36100000,1631.56,1486.57,672.016,0.609128,0.599852,0.651614,859296,3830000000,410.0494117
106,1660000,2789.29,942.287,510.647,0.665663,0.463516,0.721305,116848,177000000,146.9049699
107,1920000,2933.49,2678,511.889,0.620059,0.586301,0.648031,123784,207000000,154.2058568
108,668360,2864.07,833.008,499.538,0.648463,0.674481,0.521196,59440,72900000,108.4769026
109,2660000,2019.29,2815.72,531.541,0.618784,0.674675,0.565036,158496,293000000,171.9073075
110,11800000,1402.26,1684.39,631.625,0.566191,0.501144,0.865637,421584,1310000000,282.4627144
111,16900000,2796.71,2854.16,657.99,0.664665,0.684721,0.48974,570872,1890000000,318.3924011
112,19900000,2357.56,3013.15,685.716,0.763923,0.495451,0.47649,597768,2250000000,336.2158253
113,7000000,1938.36,2461.8,606.881,0.708754,0.62199,0.468249,306240,798000000,237.3375597
114,23900000,2782.85,3071.43,706.949,0.697582,0.550687,0.549165,697160,2740000000,357.3823439
