,Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,VoxelFaceArea,GreyMass,EqDiameter
0,3540000.0,2766.42,2503.73,153.622,0.77114,0.364272,0.628266,221096.0,3540000.0,189.08984821809946
1,12300000.0,2694.79,1645.36,169.967,0.582527,0.758095,0.550686,460792.0,24700000.0,286.39724087977976
2,14500000.0,2239.86,813.795,196.1,0.599905,0.548845,0.728976,462520.0,43600000.0,302.54486996176934
3,24800000.0,2423.39,1144.36,198.523,0.456958,0.664976,0.816634,725664.0,99400000.0,361.81315476015436
4,21600000.0,2709.22,1979.66,176.209,0.316889,0.924687,0.738748,624048.0,108000000.0,345.5294293781833
5,19400000.0,2963.3,1904.97,236.428,0.639774,0.715618,0.503378,642448.0,117000000.0,333.3760290086064
6,14800000.0,1218.12,3174.96,164.956,0.389276,0.895831,0.681741,550416.0,104000000.0,304.6171596907626
7,15700000.0,2786.39,1094.72,185.447,0.807745,0.253725,0.757728,605112.0,125000000.0,310.6707339045021
8,14400000.0,2994.81,2910.33,206.731,0.67452,0.443644,0.73365,479984.0,130000000.0,301.8477594962616
9,20200000.0,3030.02,3128.2,190.055,0.671007,0.368381,0.893078,703072.0,202000000.0,337.896932398839
10,41600000.0,1498.03,2847.62,253.089,0.63869,0.934529,0.386623,955280.0,457000000.0,429.89748338758886
11,15300000.0,2495.76,1426.38,230.264,0.692994,0.5043,0.608776,525448.0,184000000.0,308.0096118875591
12,2730000.0,2342.57,1779.11,225.565,0.712258,0.591515,0.486449,178040.0,35500000.0,173.40222863784908
13,24300000.0,2606.1,2278.97,222.059,0.385363,0.676955,0.907944,684696.0,340000000.0,359.3650882189572
14,20600000.0,1976.95,1980.17,261.344,0.460848,0.662419,0.813914,673088.0,310000000.0,340.11271330020406
15,25100000.0,2444.3,2509.05,239.244,0.507644,0.608505,0.809124,688496.0,402000000.0,363.2662352318134
16,20900000.0,2142.44,1050.54,265.784,0.594469,0.616417,0.657884,624672.0,355000000.0,341.755795388853
17,27600000.0,1498.05,968.446,283.835,0.473518,0.581298,0.905702,759344.0,496000000.0,374.9472332321408
18,14500000.0,1010.15,2532.77,263.3,0.60938,0.543786,0.718335,540992.0,276000000.0,302.54486996176934
19,39000000.0,1666.01,3116.64,284.227,0.376044,0.697589,0.894446,999736.0,780000000.0,420.7479366835002
20,26900000.0,1739.92,2606.13,283.491,0.557565,0.650845,0.679786,784376.0,564000000.0,371.75020718004146
