,Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,VoxelFaceArea,GreyMass,EqDiameter
0,3780000.0,2496.52,1463.29,90.116,0.623835,0.388496,0.96826,196496.0,3780000.0,193.2699759045343
1,1810000.0,1224.5,2309.06,83.6489,0.438612,0.697016,0.805416,117984.0,3620000.0,151.2028524342777
2,4510000.0,1504.11,3158.76,123.107,0.470599,0.562729,0.940774,221616.0,13500000.0,204.9868365145357
3,118104.0,952.442,1404.65,42.6045,0.437439,0.625815,0.898925,19048.0,472416.0,60.872620044739406
4,77952.0,2743.3,1941.56,44.7081,0.243702,0.903634,0.836952,14016.0,389760.0,53.00004194689846
5,23300000.0,3025.71,2011.32,203.77,0.596443,0.611588,0.659852,671560.0,140000000.0,354.36631537551386
6,1730000.0,2930.76,3201.14,93.5102,0.429568,0.717803,0.794691,114608.0,12100000.0,148.94153552992282
7,428272.0,898.793,1460.46,66.3484,0.415791,0.783187,0.745939,43296.0,3430000.0,93.52054299790925
8,22200000.0,1553.65,1904.5,207.438,0.556727,0.51104,0.867394,638048.0,200000000.0,348.6996012241587
9,358928.0,2547.88,1737.88,65.009,0.566963,0.458998,0.943441,40472.0,3590000.0,88.17312616200313
10,2360000.0,2828.0,1886.54,104.716,0.565706,0.612781,0.708726,139792.0,26000000.0,165.18519748328356
11,4760000.0,832.427,2165.46,133.704,0.561571,0.604694,0.725043,234376.0,57100000.0,208.70656492431473
12,12900000.0,3031.04,2623.31,197.981,0.651996,0.774784,0.449162,460392.0,168000000.0,290.98037282794945
13,5000000.0,2478.06,1073.55,128.49,0.361969,0.787581,0.810115,230176.0,70100000.0,212.15688358941105
14,911192.0,2043.47,1434.7,94.4891,0.560363,0.520511,0.844626,74512.0,13700000.0,120.28286351851469
15,87744.0,2281.39,1937.5,52.5352,0.364715,0.752633,0.844084,15184.0,1400000.0,55.132320075343
16,2360000.0,2267.88,2153.63,112.196,0.474179,0.66461,0.791173,141984.0,40100000.0,165.18519748328356
17,721848.0,824.278,883.409,83.1962,0.353927,0.839759,0.769355,62832.0,13000000.0,111.2967232994209
18,1680000.0,2557.06,1250.12,94.1449,0.47394,0.544027,0.966974,111680.0,31800000.0,147.49259605057313
19,2720000.0,1921.85,1392.92,119.68,0.593256,0.511807,0.794722,158296.0,54400000.0,173.1902452619209
20,2520000.0,2512.41,1990.22,115.976,0.508652,0.702409,0.699517,146976.0,52900000.0,168.83687537025634
21,2080000.0,1641.49,2522.56,111.216,0.546866,0.609165,0.743861,136368.0,45800000.0,158.37558699861097
22,4310000.0,2898.46,2522.9,141.606,0.633471,0.534057,0.686311,226792.0,99100000.0,201.91079988633822
23,4040000.0,2379.7,1236.66,135.341,0.658102,0.537503,0.636087,211648.0,97000000.0,197.60332480438376
24,2920000.0,3280.88,1303.61,124.307,0.651971,0.572312,0.60811,174360.0,73100000.0,177.33511587346317
25,1690000.0,2741.9,1767.63,103.691,0.54033,0.552388,0.83215,121376.0,44000000.0,147.78466135994907
26,8100000.0,1643.83,2937.85,165.167,0.463487,0.796912,0.67324,326784.0,219000000.0,249.16983552462443
27,4120000.0,1379.41,1495.22,128.67,0.378648,0.701681,0.885519,207272.0,115000000.0,198.89912133630074
28,2270000.0,2092.43,3083.4,116.874,0.513497,0.573623,0.848123,139944.0,65800000.0,163.05811281600583
29,3080000.0,2242.96,2808.74,137.805,0.521995,0.750092,0.637261,167992.0,92400000.0,180.51669130644137
30,1300000.0,2385.4,1912.53,98.04,0.498956,0.661659,0.757255,95040.0,40400000.0,135.4092221542137
31,1390000.0,2000.58,2919.77,103.744,0.644344,0.492785,0.721727,103384.0,44600000.0,138.46459061290255
32,836544.0,1305.1,3000.2,104.294,0.262012,0.855074,0.86307,65768.0,27600000.0,116.90418416317901
33,1970000.0,2202.65,1786.55,119.985,0.643089,0.433557,0.823216,128376.0,67000000.0,155.53299485870036
34,20100000.0,2798.98,2237.5,242.943,0.516103,0.591303,0.818356,619712.0,704000000.0,337.33842405446694
