Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
1.23E+07,2522.45,3133.28,158.104,0.566684,0.620634,0.698182,6531.44,4053.63,2830.18,-0.0589749,0.9746,-0.216047,0.626583,0.204621,0.752013,0.77712,-0.0910219,-0.622736,-189.34,-134.644,-123.481,176.066,156.352,113.675,3323.39,6397.03,3694.83,-55.8755,623.651,-591.075,416096,0,1.23E+07,1
2488,680.238,3085.92,19.2219,0.595083,0.570647,0.709574,23.3728,13.3376,9.46402,0.789393,-0.37723,0.48431,0.537168,0.806353,-0.247479,-0.297168,0.455514,0.839165,-10.0611,-8.82433,-7.27117,12.5,8.76195,7.70486,19.2488,13.9619,12.9636,-2.46395,4.80251,-3.31407,1448,0,4976,2
5.04E+07,2727.57,2523.66,268.413,0.400691,0.913656,0.655947,13302.2,12153.6,7972.14,0.112943,-0.596205,-0.794848,0.882271,-0.307756,0.356209,0.456992,0.741502,-0.491256,-246.464,-274.611,-222.915,275.529,264.396,216.107,11295,10262.8,11870.2,-1494.29,835.638,2067.49,1.07E+06,0,1.51E+08,3
7.55E+07,2881.68,2895.55,322.847,0.491494,0.604289,0.841494,20844.1,12595.9,10599.4,0.592079,-0.38376,0.70864,0.579455,0.813847,-0.0434084,0.560066,-0.436326,-0.704234,-317.915,-237.116,-232.529,315.449,256.499,205.589,14861.1,13430.5,15747.7,-1386.24,4248.19,-2856.58,1.43E+06,0,3.02E+08,4
904,1241.5,2694.76,43.8407,0.526393,0.537078,0.881822,11.5838,6.22141,5.48618,0.00853903,-0.553426,0.832854,0.623126,0.654347,0.428421,0.782075,-0.515315,-0.350442,-7.65274,-5.84143,-6.1665,8.76892,5.66197,5.72049,5.7721,7.66857,9.85073,0.270969,0.239643,-2.60443,744,0,4520,5
2.09E+07,2940.67,2284.59,246.239,0.750136,0.550566,0.453831,11827.6,6511.87,2955.29,0.797491,0.229435,0.558003,-0.469178,-0.345631,0.812657,-0.379315,0.90989,0.167992,-262.7,-171.931,-125.157,210.028,182.871,130.96,9380.91,3847.2,8066.64,2200.13,2592.14,136.909,609856,0,1.25E+08,6
8.13E+07,2048.67,2841.36,389.412,0.577643,0.573506,0.736447,23514.2,13485.5,9931.37,-0.00146189,0.137834,0.990454,0.983194,-0.180618,0.0265864,0.182558,0.973848,-0.135253,-342.914,-267.473,-246.795,314.417,259.08,218.771,13367.1,10305.4,23258.6,-633.891,73.2367,1837.23,1.45E+06,0,5.69E+08,7
1.57E+08,1331.65,2237.83,431.553,0.212096,0.940597,0.837664,25183.1,23687.2,19841.9,-0.00962859,0.658914,0.752157,0.992947,0.0951873,-0.0706762,-0.118165,0.746171,-0.655183,-397.847,-366.057,-331.264,327.179,339.604,317.898,23633.6,22195.7,22882.9,329.554,-308.536,2621.29,2.26E+06,0,1.25E+09,8
2.02E+07,1683.05,2720.33,221.18,0.61341,0.697122,0.554552,9065.5,6319.76,3504.63,0.361171,0.898846,-0.248259,0.782899,-0.147656,0.604373,-0.506581,0.412643,0.757034,-217.2,-196.744,-133.658,210.778,192.585,127.919,5955.5,8058.76,4875.63,1479.83,833.406,-1492.11,592808,0,1.82E+08,9
2.55E+07,1230.75,2993.07,318.26,0.491232,0.907954,0.560346,9225.58,8376.4,4693.68,0.522363,0.296552,0.799496,0.0871872,0.914092,-0.396023,0.848255,-0.276573,-0.451632,-270.559,-209.439,-135.402,186.363,210.587,166.075,5958.26,8169.37,8168.02,995.526,1765.48,-258.672,713888,0,2.55E+08,10
4.50E+07,1755.59,3116.17,349.868,0.575773,0.667544,0.635504,15618.3,10425.9,6625.69,0.526633,0.422657,0.737576,0.727353,0.22507,-0.648306,-0.440017,0.877898,-0.188892,-253.364,-245.61,-195.003,304.831,231.4,170.571,11130.2,8424.62,13115,2623.73,1701.04,2248.86,1.02E+06,0,4.95E+08,11
6.10E+07,1431.83,1351.11,471.233,0.624399,0.548981,0.684178,20933.4,11492.1,7862.61,0.149151,0.516427,0.843242,0.623898,0.612454,-0.485439,0.767141,-0.598501,0.23085,-342.365,-256.835,-210.372,306.459,231.659,193.718,9566.14,12710,18012,2393.63,544.686,4612.93,1.27E+06,0,7.32E+08,12
1.29E+06,2336.5,2829.44,199.316,0.645412,0.80647,0.439679,1422.19,1146.95,504.292,0.522168,0.726193,0.447196,0.431291,-0.677218,0.596124,0.73575,-0.118406,-0.666822,-82.9925,-72.1528,-51.2185,81.8579,75.8433,51.5688,874.109,1283.09,916.236,160.355,379.57,38.6412,92720,0,1.68E+07,13
5.57E+06,2720.94,822.32,256.433,0.486716,0.781672,0.656648,3437.4,2686.92,1764.36,0.990846,0.126385,-0.0474355,0.0129107,0.261059,0.965237,-0.134375,0.957014,-0.257038,-134.372,-121.565,-102.779,133.246,123.18,90.3402,3407.07,1853.96,2627.66,212.621,-67.1382,222.44,248912,0,7.79E+07,14
1.06E+08,2687.16,1362.06,440.971,0.276225,0.930902,0.777499,20065.4,18678.9,14522.8,0.0340508,0.998331,0.0466467,-0.174281,-0.0400272,0.983882,0.984107,-0.0416316,0.172628,-326.56,-284.231,-256.81,299.41,307.432,286.515,14655.5,20053.5,18558.1,217.406,-703.849,94.4354,1.68E+06,0,1.59E+09,15
4.00E+06,2515.74,2805.5,263.342,0.803267,0.494997,0.397443,4624.34,2289.03,909.76,-0.353392,0.652525,-0.670318,0.845405,0.529546,0.0697925,-0.400506,0.542026,0.738785,-168.599,-116.983,-79.6333,155.338,99.8974,59.5057,2359.44,2878.16,2585.54,-239.096,961.309,-1573.78,215992,0,6.40E+07,16
32,1329,2731,178,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,-2,-2,-1,2,2,1,1,1,0,0,0,0,64,0,544,17
7.79E+07,1084.72,958.005,432.882,0.518564,0.81935,0.587583,19583.1,16045.4,9428.01,0.950787,-0.0418853,0.307002,-0.0895137,0.911441,0.401576,-0.296634,-0.409294,0.862836,-317.285,-279.432,-215.706,297.861,303.03,236.733,18661.2,14943.1,11452.3,-944.307,2726.33,2291.47,1.40E+06,0,1.40E+09,18
344,1290.93,2749.67,205.163,0.427448,0.87237,0.656318,4.68073,4.08333,2.67996,-0.611723,0.699777,-0.368927,0.349195,0.657333,0.667814,0.709829,0.27969,-0.646465,-5.09629,-4.53764,-4.08951,5.02497,4.79697,4.02177,3.59978,4.26609,3.57815,-0.534343,0.778799,0.0995133,360,0,6536,19
9.97E+06,3188.4,2473.93,339.975,0.616087,0.607257,0.63221,6291.76,3820.71,2415.49,0.983041,-0.154858,0.0982282,0.0145491,0.599811,0.800009,0.182806,0.785013,-0.591892,-185.256,-159.87,-126.182,165.828,128.225,117.138,6161.7,3014.01,3352.25,-577.83,390.657,615.338,377288,0,1.99E+08,20
4.21E+07,2319.46,2603.93,489.515,0.575672,0.66492,0.638164,14724.6,9790.69,6248.07,-0.347294,-0.242665,0.905815,0.766757,0.482623,0.423271,-0.539881,0.841539,0.018453,-279.365,-226.206,-193.389,264.543,231.665,177.045,9353.21,7572.39,13837.8,2025.34,-1516.84,-1139.54,952272,0,8.84E+08,21
2184,1981.41,1776.15,234.11,0.79765,0.356365,0.567815,33.7432,12.0249,6.82792,0.270815,0.151718,0.9506,0.950186,-0.200406,-0.238712,0.15429,0.967894,-0.198433,-15.9645,-9.33771,-6.17892,11.6233,8.74351,6.77891,13.494,7.65619,31.4458,0.11625,5.75019,4.13042,1440,0,48048,22
