Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
348072,2794.56,2911.65,52.727,0.423501,0.737198,0.782014,516.051,380.432,297.503,0.409828,-0.199883,0.889993,0.866929,0.388794,-0.311888,-0.283683,0.899381,0.332623,-56.6419,-46.3831,-40.7885,53.6875,46.4453,40.632,396.537,318.77,478.679,10.0487,57.2914,-48.9345,39128,0,348072,1
230288,2560.86,3232.19,34.7108,0.374766,0.820018,0.762464,366.441,300.488,229.111,0.998315,0.0492962,0.0306117,-0.047987,0.997959,-0.042123,-0.0326258,0.0405831,0.998643,-40.5266,-38.2759,-33.4981,42.3722,37.2734,34.1991,366.143,300.531,229.367,3.34024,4.34109,-2.79324,27400,0,460576,2
184,1252.35,1525.83,9.30435,0.815233,0.548233,0.337022,5.19317,2.84707,0.959525,-0.55827,0.312537,0.768541,0.0437021,0.936125,-0.348941,0.828508,0.161217,0.536269,-5.03262,-4.05431,-2.86649,5.06185,4.26032,2.76998,2.28261,3.02717,3.68998,-0.661465,-1.84524,0.40034,248,0,552,3
720,2057.44,1735.93,11.7778,0.764051,0.535081,0.44096,12.537,6.7083,2.95809,0.963572,-0.00969176,0.267272,-0.0994033,0.914775,0.391542,-0.248289,-0.403846,0.880489,-6.74119,-5.93372,-4.49117,8.44469,5.93254,4.59261,11.8889,6.09722,4.21728,-0.430468,2.32095,1.31841,616,0,2880,4
3.65E+06,2557.5,1923.12,102.323,0.363889,0.869119,0.731903,2364.99,2055.46,1504.4,0.918234,-0.328122,-0.221773,0.395244,0.79469,0.460706,0.0250727,-0.51069,0.859399,-127.457,-108.82,-88.7228,111.844,134.84,90.2599,2316.1,1945.07,1663.69,-86.2041,-74.9072,264.378,215088,0,1.83E+07,5
688,2107.81,2310.21,15.5116,0.962379,0.077421,0.48593,57.9548,4.48692,2.18033,0.611043,0.318196,0.724829,-0.660616,0.709462,0.245461,0.436134,0.628821,-0.643717,-10.7002,-5.55976,-4.33719,16.669,5.74024,4.04039,24.0116,8.98837,31.622,9.76321,24.3286,13.2653,768,0,4128,6
16,1618,3403,8,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,-2,-1,-1,2,1,1,0,1,0,0,0,0,40,0,112,7
207328,1139.66,1742.73,42.0015,0.511532,0.594755,0.821294,414.415,246.476,202.429,0.921119,0.365575,-0.133769,-0.385947,0.902492,-0.19119,0.0508308,0.227737,0.972395,-47.2948,-34.8941,-32.2182,56.6768,41.0583,36.595,388.852,266.635,207.832,56.0419,-22.8702,-17.9668,27440,0,1.66E+06,8
1.84E+06,2668.85,983.487,104.094,0.56239,0.774955,0.564691,1745.71,1352.84,763.938,0.995306,0.0770508,0.0585649,-0.0749351,0.230572,0.970166,-0.0612486,0.97,-0.235263,-94.4771,-96.1476,-87.8763,97.4441,85.7952,67.1591,1739.82,801.075,1321.6,65.1157,14.4141,136.164,133312,0,1.66E+07,9
365016,1112.61,1437.96,50.7713,0.614062,0.412617,0.935341,735.907,303.648,284.015,0.971754,0.235917,-0.006059,-0.00949544,0.06474,0.997857,-0.235803,0.969614,-0.0651515,-61.3148,-40.0335,-38.7075,58.1755,39.8787,40.7807,710.742,309.248,303.581,103.586,-2.84671,0.622406,39072,0,3.65E+06,10
