Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
3.85E+07,1450.78,1623.49,230.689,0.736204,0.643559,0.409902,17641,11353,4653.63,0.0573955,0.917842,-0.392774,0.907275,0.116219,0.404161,-0.416604,0.379551,0.826065,-355.34,-245.675,-147.177,284.917,246.675,186.784,10211,15685.1,7751.53,1390.57,2163.79,-4367.33,1.07E+06,0,3.85E+07,1
1.19E+08,1281.86,2432.82,361.503,0.313225,0.926885,0.740949,23492.4,21774.7,16134,-0.0933348,0.843415,0.529093,-0.156842,-0.537233,0.828723,0.983204,-0.00563518,0.182425,-305.267,-317.141,-323.065,346.148,415.806,316.01,16336.8,22996.4,22067.9,-103.96,-1096.55,772.286,2.18E+06,0,2.39E+08,2
1.80E+07,2149.62,2230.05,239.867,0.685352,0.724867,0.434077,9158.62,6638.78,2881.74,0.546267,-0.31164,0.777479,0.830628,0.0819365,-0.550767,0.107937,0.946661,0.303616,-228.973,-176.615,-141.774,194.897,182.045,130.834,7346.94,3516.57,7815.62,-812.869,947.079,-1690.4,563544,0,5.41E+07,3
9.54E+06,1126.24,1862.02,154.955,0.615505,0.424493,0.905775,6554.55,2782.36,2520.2,0.739115,-0.363293,0.567209,-0.593261,0.0476753,0.803598,0.318983,0.930454,0.18029,-189.241,-128.285,-126.945,201.708,120.541,115.698,4816.4,3053.25,3987.46,-1090.7,1566.35,-821.289,366464,0,3.82E+07,4
5.68E+06,3084.62,2648.38,179.033,0.730433,0.397933,0.677418,5445.89,2167.1,1468.03,0.352208,-0.495897,0.793748,0.817467,0.575968,-0.00289429,-0.455738,0.649882,0.60824,-167.094,-123.672,-88.6598,167.287,102.807,95.3283,2428.64,2678.15,3974.23,-365.624,1110.41,-1566.92,273136,0,2.84E+07,5
2.12E+07,924.948,1464.66,181.898,0.513049,0.56318,0.864645,10178.5,5732.31,4956.41,-0.658091,0.750592,-0.0593859,0.749236,0.660627,0.0470836,-0.0745726,0.0135087,0.997124,-267.006,-159.116,-152.068,211.355,211.465,240.09,7653.55,8237.08,4976.55,-2195.43,231.456,-208.637,731480,0,1.27E+08,6
3088,886.839,1455.13,40.8705,0.270101,0.796999,0.915809,19.6919,15.6944,14.3731,-0.276548,0.67953,-0.67953,0.961,0.195549,-0.195549,5.29E-12,0.707107,0.707107,-11.0104,-8.7966,-9.48528,11.1226,9.00399,9.48528,16.0001,16.8796,16.8796,-0.751215,0.751215,-2.50654,1472,0,21616,7
3.97E+07,1607.72,991.426,309.256,0.639355,0.855549,0.421537,13830.9,11833,4988.06,0.00308471,-0.549967,0.83518,0.95016,-0.258755,-0.1739,0.311746,0.794092,0.521759,-304.591,-276.881,-182.081,247.223,238.895,163.043,11167.8,8121,11363.2,-1697.9,-1108.23,-3753.72,967416,0,3.18E+08,8
7.73E+06,950.189,2243.99,159.15,0.633039,0.460797,0.796361,5590.88,2576.26,2051.63,0.725445,-0.59003,0.354392,-0.591367,-0.270881,0.759545,0.352157,0.760584,0.545433,-159.155,-123.12,-110.65,174.357,123.453,101.788,4097.7,3322.27,2798.8,-1430.88,674.263,-848.002,312712,0,6.96E+07,9
1.77E+07,1428.45,3031.85,229.924,0.620364,0.585638,0.648244,8944.82,5238.42,3395.78,0.417574,-0.546052,0.726264,0.880349,0.441036,-0.174568,0.224985,-0.71226,-0.664881,-234.78,-208.929,-134.578,209.758,152.289,145.415,5791.43,5408.77,6378.82,-549.84,1399.67,-2342.49,566696,0,1.77E+08,10
