Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
3.54E+06,2766.42,2503.73,153.622,0.77114,0.364272,0.628266,4656.1,1696.09,1065.59,0.990917,-0.0832288,0.105629,0.127457,0.831744,-0.540329,-0.042885,0.548885,0.834797,-142.713,-111.743,-99.175,174.028,111.307,59.9608,4601.41,1526.64,1289.73,-229.28,332.394,-314.919,221096,0,3.54E+06,1
1.23E+07,2694.79,1645.36,169.967,0.582527,0.758095,0.550686,6461.89,4898.72,2697.66,-0.550086,0.780126,0.298007,0.632508,0.622209,-0.46129,0.545288,0.0652572,0.835705,-155.251,-155.177,-109.888,199.582,161.374,124.95,4717.27,5840.69,3500.32,-749.132,-1259.27,243.372,460792,0,2.47E+07,2
1.45E+07,2239.86,813.795,196.1,0.599905,0.548845,0.728976,7934.42,4354.77,3174.52,0.996873,-0.0332934,0.0716656,-0.0755372,-0.667819,0.740481,-0.0232065,0.743579,0.668245,-182.303,-142.474,-148.42,194.45,157.712,131.446,7911.43,3706.16,3846.11,-98.44,274.039,-594.997,462520,0,4.36E+07,3
2.48E+07,2423.39,1144.36,198.523,0.456958,0.664976,0.816634,9554.08,6353.23,5188.26,-0.554219,0.678408,0.482291,-0.266607,-0.693572,0.669237,0.788519,0.242322,0.565259,-236.113,-198.29,-197.824,223.244,192.167,164.126,6612.06,7757.97,6725.53,-1426.07,-1374.81,887.714,725664,0,9.94E+07,4
2.16E+07,2709.22,1979.66,176.209,0.316889,0.924687,0.738748,7369.28,6814.28,5034.04,0.510473,-0.634553,-0.58031,0.557838,0.75796,-0.338103,0.654396,-0.151126,0.740896,-201.574,-183.353,-183.079,211.589,213.267,176.469,6196.54,6997.09,6023.96,-3.71675,-1027.54,403.703,624048,0,1.08E+08,5
1.94E+07,2963.3,1904.97,236.428,0.639774,0.715618,0.503378,9333.15,6678.97,3362.05,0.625276,0.259999,-0.735819,0.765767,-0.386159,0.514277,0.150432,0.885032,0.440555,-228.922,-156.947,-131.003,217.102,208.119,148.805,7641.61,4260.31,7472.24,-10.109,-1440.99,-1801.06,642448,0,1.17E+08,6
1.48E+07,1218.12,3174.96,164.956,0.389276,0.895831,0.681741,6150.95,5510.21,3756.54,0.314162,0.940371,0.1304,0.931787,-0.331733,0.147399,-0.181868,-0.0751976,0.980443,-183.534,-172.436,-178.78,200.78,179.485,152.883,5515.45,6066.9,3835.35,165.309,338.949,207.863,550416,0,1.04E+08,7
1.57E+07,2786.39,1094.72,185.447,0.807745,0.253725,0.757728,14328.5,3635.51,2754.72,0.943369,0.331738,-0.0021911,-0.293465,0.837575,0.460811,0.154704,-0.434072,0.887495,-254.694,-149.491,-124.688,278.358,148.862,153.697,13130.6,4646.32,2941.81,3405.54,-143.033,331.537,605112,0,1.25E+08,8
1.44E+07,2994.81,2910.33,206.731,0.67452,0.443644,0.73365,8980.78,3984.27,2923.06,0.961552,-0.200186,0.187997,0.0649172,0.830854,0.552692,-0.266839,-0.519238,0.811905,-221.701,-149.824,-117.928,218.462,161.318,132.898,8528.39,3898.39,3461.32,-1108.81,1133.12,259.336,479984,0,1.30E+08,9
2.02E+07,3030.02,3128.2,190.055,0.671007,0.368381,0.893078,13019.1,4795.97,4283.18,0.76022,-0.474947,-0.443272,0.494842,0.865421,-0.0785978,0.420947,-0.159598,0.892935,-243.246,-176.162,-176.181,283.54,181.291,188.631,9457.51,6637.83,6002.86,-2934.61,-2963.8,1804.29,703072,0,2.02E+08,10
4.16E+07,1498.03,2847.62,253.089,0.63869,0.934529,0.386623,13686.2,12790.1,4944.95,0.690342,-0.170938,0.702999,-0.723353,-0.144646,0.675158,0.0137244,0.974606,0.223504,-279.389,-283.881,-185.515,271.228,242.799,157.671,13215.7,5364.51,12841,-210.674,410.796,-1816.57,955280,0,4.57E+08,11
1.53E+07,2495.76,1426.38,230.264,0.692994,0.5043,0.608776,9121.47,4599.95,2800.34,0.847924,0.107531,0.519097,-0.469056,-0.304073,0.829172,-0.247005,0.94656,0.207393,-215.22,-173.374,-132.441,193.115,149.641,124.676,7741.01,3039.82,5740.92,833.021,2082.36,-100.896,525448,0,1.84E+08,12
2.73E+06,2342.57,1779.11,225.565,0.712258,0.591515,0.486449,2849.36,1685.44,819.88,0.852112,-0.119359,-0.509567,0.503474,0.452789,0.735864,-0.142895,0.883592,-0.445921,-127.386,-90.9156,-69.0689,137.412,93.5734,64.2938,2512.88,1026.25,1815.55,-9.09314,-560.538,411.832,178040,0,3.55E+07,13
2.43E+07,2606.1,2278.97,222.059,0.385363,0.676955,0.907944,9064.31,6136.13,5571.26,0.885309,0.135054,0.444959,-0.457914,0.419657,0.783711,0.0808874,0.897579,-0.433369,-233.631,-201.767,-172.333,232.867,190.549,195.719,8427.46,5734.45,6609.79,309.094,1173.29,395.688,684696,0,3.40E+08,14
2.06E+07,1976.95,1980.17,261.344,0.460848,0.662419,0.813914,8738.68,5788.67,4711.48,0.514752,0.667917,-0.537511,0.754495,-0.055179,0.653982,0.407146,-0.742188,-0.532343,-236.889,-165.757,-166.517,215.63,174.323,184.115,6391.77,6511.34,6335.71,1339.75,-582.753,-1484.69,673088,0,3.10E+08,15
2.51E+07,2444.3,2509.05,239.244,0.507644,0.608505,0.809124,10238.5,6230.15,5040.96,0.896673,0.11751,-0.426813,0.280828,0.594316,0.753607,-0.342218,0.7956,-0.499907,-232.458,-192.795,-180.414,223.396,198.245,186.235,9313.65,5532.77,6663.15,746.124,-1737.46,271.936,688496,0,4.02E+08,16
2.09E+07,2142.44,1050.54,265.784,0.594469,0.616417,0.657884,9631.5,5937.03,3905.88,0.927654,0.144846,0.344206,-0.373332,0.381868,0.845458,0.00898028,0.912796,-0.408318,-220.723,-171.542,-154.389,225.16,185.096,165.798,9116.12,4322.19,6036.1,479.765,1187.11,941.226,624672,0,3.55E+08,17
2.76E+07,1498.05,968.446,283.835,0.473518,0.581298,0.905702,10779.6,6266.14,5675.25,0.883094,-0.207357,0.42089,0.404606,0.790752,-0.459353,-0.23757,0.575947,0.782206,-245.429,-202.93,-180.248,253.527,159.816,206.736,9752.6,6264.19,6704.15,-745.63,1787.38,-660.107,759344,0,4.96E+08,18
1.45E+07,1010.15,2532.77,263.3,0.60938,0.543786,0.718335,8254.41,4488.63,3224.34,0.950762,0.282122,-0.128292,-0.224986,0.912985,0.340353,0.21315,-0.294731,0.931505,-194.651,-172.813,-119.673,200.103,172.122,160.783,7835.27,4678.54,3453.59,1089.52,-710.356,210.805,540992,0,2.76E+08,19
3.90E+07,1666.01,3116.64,284.227,0.376044,0.697589,0.894446,12319,8593.62,7686.53,-0.163634,-0.0771271,0.983502,0.986297,0.00846319,0.164763,-0.0210312,0.996985,0.0746854,-230.961,-228.541,-199.077,286.241,243.402,231.401,8692.97,7714.15,12192,66.0365,-598.12,-350.131,999736,0,7.80E+08,20
2.69E+07,1739.92,2606.13,283.491,0.557565,0.650845,0.679786,11188.6,7282.05,4950.23,0.865696,0.0206619,0.500143,-0.359246,0.721431,0.592013,0.348587,0.692178,-0.631963,-254.499,-210.484,-154.287,243.151,212.784,181.677,9926.39,6166.52,7327.97,-492.754,2205.11,1060.38,784376,0,5.64E+08,21
1.88E+07,1350.04,2625.18,265.567,0.577932,0.813684,0.518713,8563.88,6968.29,3614.54,0.876224,-0.2504,-0.411742,0.390943,-0.130223,0.911156,0.281772,0.959344,0.0162119,-219.053,-195.994,-151.882,243.419,237.167,132.93,7927.06,3981.74,7237.91,-1256.66,-590.974,112.345,644664,0,4.13E+08,22
3.52E+07,1540.29,1889.71,285.427,0.55941,0.563285,0.782181,13665.6,7697.63,6020.94,0.78341,-0.477562,0.397747,-0.496731,-0.0964828,0.862525,0.373534,0.873284,0.312805,-278.491,-210.004,-177.268,267.367,195.831,181.947,11126.4,7780.04,8477.72,-2779.72,1663.71,-1591.63,936680,0,8.10E+08,23
2.86E+07,1040.06,1431.58,287.085,0.674593,0.380932,0.85424,15300.8,5828.57,4978.99,0.958586,-0.0846579,-0.271929,0.268218,-0.0527058,0.961915,0.095766,0.995015,0.0278163,-278.552,-190.335,-194.865,306.734,185.048,146.801,14524.7,5055.33,6528.34,-849.644,-2471.36,194.545,836000,0,6.86E+08,24
5.53E+06,2452.4,1644.73,250.382,0.564706,0.839993,0.518211,3676.94,3088.6,1600.55,0.91888,0.38506,0.085954,-0.392861,0.913059,0.109466,-0.0363302,-0.134354,0.990267,-166.584,-121.944,-93.8886,135.711,134.155,118.463,3583.4,3148.98,1633.72,200.905,100.003,217.452,274632,0,1.38E+08,25
2.69E+07,1061.01,1729.63,287.979,0.297731,0.924571,0.759561,8347.53,7717.88,5862.21,0.620329,-0.205483,0.756947,-0.408977,0.738754,0.535706,0.669276,0.641888,-0.374233,-204.463,-193.877,-207.702,222.468,207.735,187.082,7128.96,6979.89,7818.76,-877.458,760.434,347.828,724192,0,6.99E+08,26
1.62E+07,2147.8,2232.91,299.124,0.78572,0.302341,0.708734,12798.1,3869.4,2742.38,0.921274,0.120472,-0.369784,0.379768,-0.483654,0.788578,0.0838453,0.866929,0.491329,-257.756,-152.294,-145.012,255.995,162.804,121.366,11439.7,3151.96,4818.25,909.062,-3088.2,-877.817,552096,0,4.38E+08,27
1.82E+07,2012.04,2465.57,275.501,0.504878,0.620203,0.798323,8591.38,5328.4,4253.78,0.855602,0.31778,-0.40861,-0.152247,0.908952,0.388107,0.494739,-0.269855,0.826082,-207.177,-176.626,-167.306,216.98,167.422,133.222,7454.05,5579.65,5139.86,1030.65,-1579.95,-184.136,588152,0,5.08E+08,28
3.69E+07,2051.14,1352.49,285.27,0.644276,0.6169,0.576631,14583,8996.24,5187.51,0.981523,-0.191295,-0.00425552,-0.108392,-0.574203,0.811506,0.157681,0.796051,0.584328,-291.162,-247.344,-192.606,293.059,205.999,186.923,14283.7,6787.1,7695.89,-1527.05,-374.262,-1767.1,948104,0,1.07E+09,29
9.76E+06,2739.44,2601.69,251.22,0.652069,0.63799,0.545356,6516.02,4157.16,2267.13,-0.158036,-0.68358,0.712561,-0.919851,0.364297,0.14547,0.359025,0.63246,0.686364,-190.569,-161.135,-105.907,148.456,158.841,142.783,3972.45,4503.39,4464.47,-174.337,-731.376,-1969.44,416472,0,2.93E+08,30
9.12E+06,1012.75,1067.25,301.029,0.62572,0.806554,0.464048,5258.9,4241.58,1968.3,-0.388489,0.506921,0.769485,0.774691,0.63184,-0.025126,-0.498928,0.586352,-0.638171,-153.463,-167.202,-89.4154,154.49,142.609,108.677,3829.23,3721.43,3918.12,464.701,-1027.93,1247.47,376312,0,2.83E+08,31
2.15E+07,2223.9,3189.92,331.834,0.657843,0.828761,0.412854,9497.89,7871.48,3249.77,0.0574147,0.370389,0.927101,0.996777,-0.0733802,-0.0324133,0.0560253,0.925974,-0.373409,-234.98,-218.182,-123.186,200.166,211.562,132.872,7862.34,4131.82,8624.98,-205.178,183.26,2156.52,650608,0,6.86E+08,32
1.07E+07,3225.36,3050.98,311.098,0.496973,0.632382,0.795448,5704.99,3607.73,2869.76,0.932017,-0.265385,-0.246809,0.255149,-0.00314831,0.966897,0.257377,0.964137,-0.0647785,-198.809,-135.54,-148.384,190.568,147.68,112.244,5380.64,3069.45,3732.39,-701.868,-470.128,183.459,418912,0,3.53E+08,33
4.02E+07,1025.83,3155.78,306.131,0.559859,0.733956,0.599683,14036.8,10302.4,6178.19,0.304428,0.950482,0.0625062,0.651462,-0.255631,0.714318,0.694925,-0.176738,-0.697025,-278.701,-228.972,-224.611,272.277,239.801,192.122,8656.83,13547.3,8313.28,1587.1,2068.75,-286.201,1.04E+06,0,1.37E+09,34
1.68E+07,2427.73,2070.9,336.009,0.443601,0.762876,0.729344,7377.34,5627.99,4104.74,0.976044,0.100793,-0.192816,0.211632,-0.645471,0.733879,0.0504869,0.757105,0.65134,-202.35,-179.115,-180.828,211.934,169.705,133.969,7290.64,4772.62,5046.8,113.874,-379.312,-785.161,588200,0,5.88E+08,35
1.70E+07,1781.34,2101.11,335.756,0.622444,0.715025,0.528032,8526.67,6096.78,3219.29,0.789336,-0.267784,0.552485,0.340343,0.939799,-0.0307373,-0.510994,0.212297,0.832956,-236.956,-181.586,-158.561,206.291,185.758,127.861,6859.37,6141.33,4842.03,-201.454,2284.43,-868.331,598656,0,6.13E+08,36
2.65E+07,2973.85,986.332,330.58,0.528712,0.598138,0.787925,11356,6792.46,5351.95,0.871735,0.267819,-0.410306,-0.0071159,0.844229,0.535936,0.489926,-0.464274,0.73785,-247.047,-216.182,-155.617,223.66,181.807,182.336,9914.64,6809.29,6776.49,1393.1,-2153.01,-8.01064,747904,0,9.81E+08,37
8.07E+06,2241.01,2005.48,311.056,0.642776,0.773396,0.46189,5207.31,4027.32,1860.18,-0.649225,0.710789,0.270714,-0.269409,-0.547749,0.79208,0.711284,0.441305,0.547105,-190.749,-158.797,-92.948,161.114,119.659,127.814,3428.27,4201.42,3465.12,-1224.78,-1050.73,-296.179,365424,0,3.07E+08,38
1.11E+07,2834.59,1703.43,350.353,0.543295,0.701267,0.651257,5889.53,4130.14,2689.78,-0.400708,0.653247,0.642418,0.750454,-0.168225,0.639155,0.525597,0.73822,-0.422823,-187.927,-163.647,-126.905,183.825,164.027,122.833,4014.74,4095.98,4598.74,-1019.41,-132.811,1187.93,416904,0,4.33E+08,39
3.44E+07,2986.65,2607.94,342.514,0.505225,0.558762,0.885485,12987.2,7256.74,6425.73,0.730118,-0.665811,-0.153703,0.630201,0.56915,0.528124,-0.264151,-0.482456,0.835141,-234.185,-202.862,-193.788,276.712,178.922,166.719,10253.5,9603.63,6812.52,-2891.59,-459.753,921.264,862824,0,1.37E+09,40
3.38E+07,1291.83,1252.34,367.64,0.496329,0.818043,0.615703,11239.5,9194.42,5661.03,0.82956,0.00421729,-0.558401,0.497158,0.449786,0.741975,-0.25429,0.893127,-0.371028,-230.665,-244.577,-194.342,229.799,200.638,194.438,10373.3,6375.96,9345.7,809.635,-1280.72,1166.06,857560,0,1.38E+09,41
