Volume3d,BaryCenterX,BaryCenterY,BaryCenterZ,Anisotropy,Elongation,Flatness,EigenVal1,EigenVal2,EigenVal3,EigenVec1X,EigenVec1Y,EigenVec1Z,EigenVec2X,EigenVec2Y,EigenVec2Z,EigenVec3X,EigenVec3Y,EigenVec3Z,ExtentMin1,ExtentMin2,ExtentMin3,ExtentMax1,ExtentMax2,ExtentMax3,BinMom2x,BinMom2y,BinMom2z,BinMomxy,BinMomxz,BinMomyz,VoxelFaceArea,BorderVoxelCount,GreyMass,index
3.78E+06,2496.52,1463.29,90.116,0.623835,0.388496,0.96826,3585.46,1392.94,1348.73,-0.165076,0.985049,-0.0492786,0.909343,0.132662,-0.394331,0.381898,0.109906,0.917646,-132.326,-90.285,-83.8604,136.544,84.3797,90.4819,1446.24,3519.85,1361.03,-358.377,2.34165,-110.888,196496,0,3.78E+06,1
1.81E+06,1224.5,2309.06,83.6489,0.438612,0.697016,0.805416,1582.33,1102.91,888.3,0.222343,0.934571,-0.277742,0.188732,0.238227,0.952695,0.956527,-0.264244,-0.123415,-91.2221,-73.6982,-72.1347,91.9007,77.86,75.0702,930.255,1506.66,1136.62,153.865,-4.27159,-131.442,117984,0,3.62E+06,2
4.51E+06,1504.11,3158.76,123.107,0.470599,0.562729,0.940774,3208.84,1805.71,1698.76,-0.0740545,0.933594,-0.350596,0.673007,0.30622,0.673269,0.73592,-0.186095,-0.650992,-136.868,-102.416,-97.6574,123.329,104.237,97.9087,1755.48,3024.97,1932.85,-82.3619,87.6645,-472.221,221616,0,1.35E+07,3
118104,952.442,1404.65,42.6045,0.437439,0.625815,0.898925,267.526,167.422,150.5,0.162621,0.933934,0.318311,0.905591,-0.269356,0.327645,-0.391738,-0.234978,0.889566,-38.028,-29.8949,-30.45,35.7274,29.7027,28.1477,167.472,253.801,164.174,13.6458,11.0787,33.2962,19048,0,472416,4
77952,2743.3,1941.56,44.7081,0.243702,0.903634,0.836952,164.581,148.721,124.472,0.158688,0.785794,-0.597785,-0.310645,0.614445,0.725229,0.937186,0.070614,0.341608,-29.2018,-30.5166,-24.0595,30.8652,28.8826,29.0013,127.822,158.393,151.558,0.37294,-9.2677,-8.03494,14016,0,389760,5
2.33E+07,3025.71,2011.32,203.77,0.596443,0.611588,0.659852,10093.8,6173.25,4073.43,0.0528671,0.989189,-0.136782,0.477082,0.0953117,0.873675,0.877267,-0.111445,-0.466886,-235.16,-191.032,-154.084,233.244,183.592,150.92,4568.19,9983.42,5788.88,410.321,831.702,-639.724,671560,0,1.40E+08,6
1.73E+06,2930.76,3201.14,93.5102,0.429568,0.717803,0.794691,1510.82,1084.47,861.817,-0.102022,0.992141,0.0724462,0.0593004,-0.0666312,0.996014,0.993013,0.105912,-0.0520365,-91.8837,-74.5559,-69.1592,90.7923,77.0169,70.0356,869.356,1501.64,1086.1,-66.5716,8.35383,31.8716,114608,0,1.21E+07,7
428272,898.793,1460.46,66.3484,0.415791,0.783187,0.745939,576.011,451.124,336.511,0.521973,0.529377,0.668809,-0.2333,0.842808,-0.485022,0.820436,-0.0971351,-0.563426,-59.0675,-46.7077,-42.1563,56.179,52.8141,42.3193,408.002,485.041,470.603,43.6426,96.5784,37.9438,43296,0,3.43E+06,8
2.22E+07,1553.65,1904.5,207.438,0.556727,0.51104,0.867394,10067.3,5144.77,4462.54,-0.137229,0.738398,-0.660255,-0.135769,0.646249,0.750952,0.981191,0.192695,0.0115677,-240.309,-174.737,-151.944,228.803,163.834,156.554,4580.67,7803.33,7290.57,-627.781,438.263,-2401.38,638048,0,2.00E+08,9
358928,2547.88,1737.88,65.009,0.566963,0.458998,0.943441,678.863,311.597,293.973,-0.1199,0.991131,-0.0572912,0.682665,0.124209,0.720098,0.720828,0.0472293,-0.691503,-58.7182,-43.2124,-45.0819,58.6876,47.6211,40.1427,307.719,672.338,304.375,-44.2448,11.3074,-20.279,40472,0,3.59E+06,10
